playerID,W,L,G,GS,CG,SHO,SV,IPouts,H,ER,HR,BB,SO,BAOpp,ERA,IBB,WP,HBP,BK,BFP,GF,R,SH,SF,GIDP,WHIP,HOF
vanderi01,8,11,50,35,0,0,0,551.0,204,124,33,96,179,2.1630000000000003,2.02540834845735,8.0,8.0,13.0,4,847.0,6.0,131,10.0,6.0,0.0,1.6333938294010888,0
vandybe01,0,0,5,1,0,0,0,65.0,20,8,0,11,13,0.5,1.1076923076923078,0.0,1.0,1.0,0,91.0,3.0,13,0.0,0.0,0.0,1.4307692307692308,0
vanegti01,5,9,23,17,1,0,0,299.0,105,66,15,50,60,0.79,1.9866220735785953,5.0,2.0,1.0,1,450.0,2.0,69,0.0,0.0,0.0,1.5551839464882944,0
vanevjo01,0,0,2,0,0,0,0,5.0,3,2,1,1,1,0.7330000000000001,3.6,0.0,0.0,0.0,0,9.0,2.0,2,0.0,0.0,0.0,2.4000000000000004,0
vangiel01,99,102,367,187,90,13,19,5147.0,1894,815,92,699,474,3.22,1.4251020011657276,0.0,22.0,42.0,3,7694.0,120.0,1012,0.0,0.0,0.0,1.5113658441810762,0
vanhage01,40,31,93,68,65,5,4,2068.0,809,310,33,244,281,12.049999999999999,1.3491295938104448,0.0,41.0,49.0,1,2843.0,24.0,527,0.0,0.0,0.0,1.5275628626692457,0
vanhean01,1,3,5,5,1,1,0,90.0,38,10,2,6,5,0.311,1.0,0.0,1.0,0.0,0,131.0,0.0,13,2.0,1.0,0.0,1.4666666666666666,0
vanlawi01,27,26,84,81,1,0,0,1432.0,470,241,46,220,300,0.9299999999999999,1.5146648044692737,15.0,24.0,13.0,11,2099.0,2.0,274,0.0,0.0,0.0,1.4455307262569832,0
vanpoto01,40,52,359,98,2,1,4,2721.0,944,562,143,461,711,3.228,1.858875413450937,21.0,47.0,22.0,7,4049.0,84.0,587,16.0,8.0,0.0,1.5490628445424477,0
vanrybe01,0,2,26,0,0,0,0,47.0,19,10,0,13,10,0.2,1.9148936170212767,0.0,1.0,2.0,0,77.0,7.0,10,0.0,0.0,0.0,2.0425531914893615,0
vanzaik01,0,0,3,0,0,0,0,58.0,18,10,0,10,5,0.39,1.5517241379310345,0.0,0.0,2.0,0,0.0,3.0,15,0.0,0.0,0.0,1.4482758620689655,0
vargaan01,0,0,3,0,0,0,0,12.0,2,1,0,7,1,0.2,0.75,0.0,1.0,0.0,0,20.0,3.0,1,0.0,0.0,0.0,2.25,0
vargacl01,48,40,217,114,0,0,1,2294.0,801,410,127,294,544,2.659,1.6085440278988665,23.0,32.0,35.0,1,3363.0,18.0,440,29.0,21.0,0.0,1.4319965126416738,0
vargaja01,67,70,213,193,11,6,0,3629.0,1234,564,149,354,794,2.739,1.3987324331771838,23.0,14.0,31.0,8,5146.0,7.0,595,27.0,32.0,11.0,1.31275833562965,0
vargaro01,0,0,25,0,0,0,2,74.0,39,24,4,14,13,0.35,2.918918918918919,2.0,4.0,1.0,0,128.0,7.0,25,0.0,0.0,0.0,2.1486486486486487,0
vargubi01,1,1,15,2,1,0,0,118.0,49,17,1,14,5,0.63,1.2966101694915255,0.0,0.0,2.0,0,183.0,6.0,25,0.0,0.0,0.0,1.6016949152542375,0
varnedi01,1,1,3,3,0,0,0,44.0,14,10,0,12,7,0.25,2.0454545454545454,0.0,1.0,5.0,0,0.0,0.0,15,0.0,0.0,0.0,1.772727272727273,0
varvaan01,7,9,166,0,0,0,1,551.0,165,66,15,70,150,1.55,1.0780399274047188,10.0,18.0,3.0,0,771.0,65.0,71,5.0,4.0,7.0,1.279491833030853,0
vasbica01,0,0,2,0,0,0,0,15.0,5,5,1,8,2,0.26,3.0,0.0,1.0,0.0,0,0.0,2.0,5,0.0,0.0,0.0,2.6,0
vasquan01,1,6,7,7,0,0,0,88.0,46,29,13,10,13,0.351,2.965909090909091,0.0,0.0,3.0,0,146.0,0.0,35,1.0,1.0,0.0,1.9090909090909092,0
vasques01,5,12,147,6,0,0,0,506.0,157,91,14,99,134,1.004,1.6185770750988142,7.0,8.0,14.0,1,751.0,31.0,95,2.0,7.0,0.0,1.517786561264822,0
vasqujo01,1,0,9,0,0,0,0,37.0,15,6,3,6,13,0.5640000000000001,1.4594594594594594,0.0,2.0,1.0,1,59.0,3.0,8,0.0,0.0,0.0,1.7027027027027026,0
vasqura01,1,0,9,0,0,0,0,48.0,23,9,4,6,9,0.35,1.6875,1.0,0.0,1.0,0,73.0,8.0,9,0.0,0.0,0.0,1.8125,0
vasquvi01,2,6,19,10,0,0,0,184.0,85,45,13,23,36,0.6799999999999999,2.2010869565217392,1.0,0.0,4.0,0,287.0,4.0,46,2.0,2.0,0.0,1.7608695652173916,0
vaughch01,1,0,2,1,0,0,0,24.0,9,4,0,6,7,0.54,1.5,0.0,0.0,0.0,1,38.0,1.0,4,0.0,0.0,0.0,1.875,0
vaughde01,0,0,8,0,0,0,0,46.0,24,13,4,4,8,0.34,2.5434782608695654,0.0,1.0,0.0,0,75.0,4.0,15,0.0,0.0,0.0,1.8260869565217392,0
vaughfa01,0,0,1,0,0,0,0,21.0,12,3,0,1,0,0.0,1.2857142857142858,0.0,0.0,0.0,0,0.0,1.0,9,0.0,0.0,0.0,1.8571428571428572,0
vaughhi01,178,137,390,331,215,41,5,8190.0,2461,754,39,817,1416,3.3200000000000003,0.8285714285714286,0.0,63.0,85.0,7,11225.0,45.0,1039,0.0,0.0,0.0,1.200732600732601,0
vaughpo01,2,11,24,18,6,0,2,366.0,137,79,12,74,52,1.58,1.9426229508196722,0.0,14.0,3.0,2,578.0,5.0,99,0.0,0.0,0.0,1.7295081967213113,0
vaughro01,0,0,2,0,0,0,0,13.0,3,1,1,3,1,0.17,0.6923076923076923,0.0,0.0,0.0,0,20.0,1.0,2,0.0,0.0,0.0,1.3846153846153846,0
vazquja01,165,160,450,443,28,8,0,8520.0,2784,1331,373,763,2536,3.029,1.4059859154929577,58.0,76.0,88.0,4,11935.0,5.0,1431,91.0,59.0,0.0,1.248943661971831,0
veachal01,0,2,2,2,1,0,0,30.0,20,13,1,9,3,0.41,3.9,0.0,1.0,0.0,0,58.0,0.0,15,0.0,0.0,0.0,2.9,0
veachbo01,0,0,1,0,0,0,1,6.0,2,1,0,2,0,0.28,1.5,0.0,0.0,0.0,0,9.0,1.0,1,0.0,0.0,0.0,2.0,0
veachpe01,3,10,13,13,13,0,0,339.0,100,32,2,18,64,0.0,0.8495575221238938,0.0,0.0,0.0,0,37.0,0.0,63,0.0,0.0,0.0,1.0442477876106195,0
vealdo01,3,3,105,0,0,0,1,207.0,63,42,8,49,73,1.2890000000000001,1.826086956521739,2.0,9.0,4.0,0,318.0,25.0,43,1.0,2.0,0.0,1.6231884057971013,0
vealebo01,120,95,397,255,78,20,21,5778.0,1684,658,91,858,1703,3.29,1.0249221183800623,62.0,92.0,29.0,9,8163.0,63.0,755,0.0,0.0,0.0,1.3198338525441329,0
veddelo01,0,0,1,0,0,0,0,6.0,0,0,0,0,1,0.0,0.0,0.0,0.0,0.0,0,6.0,1.0,0,0.0,0.0,0.0,0.0,0
veigeal01,0,1,2,2,0,0,0,8.0,3,2,0,5,1,0.25,2.25,0.0,0.0,0.0,0,18.0,0.0,6,0.0,0.0,0.0,3.0,0
veilbu01,5,3,13,7,4,0,0,226.0,74,33,1,40,21,0.51,1.3141592920353982,0.0,2.0,3.0,1,319.0,5.0,38,0.0,0.0,0.0,1.5132743362831858,0
velasvi01,1,1,19,7,0,0,0,167.0,50,27,5,21,58,0.24,1.4550898203592815,0.0,3.0,2.0,0,231.0,5.0,28,0.0,0.0,0.0,1.2754491017964074,0
velazca01,2,2,18,0,0,0,2,115.0,46,11,5,10,12,0.29,0.8608695652173913,1.0,0.0,0.0,0,168.0,5.0,15,0.0,0.0,0.0,1.4608695652173913,0
venafmi01,15,10,307,0,0,0,5,760.0,264,115,15,94,131,1.7069999999999999,1.361842105263158,11.0,6.0,21.0,0,1107.0,68.0,129,9.0,11.0,0.0,1.4131578947368422,0
vendipa01,2,2,26,0,0,0,0,86.0,22,14,3,12,23,0.21,1.4651162790697674,0.0,0.0,0.0,0,119.0,7.0,14,1.0,1.0,0.0,1.1860465116279069,0
ventejo01,15,10,230,0,0,0,6,689.0,175,57,9,110,258,0.649,0.7445573294629898,12.0,17.0,18.0,0,969.0,39.0,72,12.0,2.0,0.0,1.2409288824383164,0
venturo01,0,0,1,0,0,0,0,3.0,1,0,0,0,0,0.25,0.0,0.0,0.0,0.0,0,4.0,1.0,0,0.0,0.0,0.0,1.0,0
ventuyo01,27,19,62,61,0,0,0,1085.0,335,145,31,133,326,0.712,1.2027649769585254,2.0,22.0,14.0,1,1539.0,0.0,151,4.0,8.0,13.0,1.2940092165898616,0
verasda01,5,3,53,0,0,0,0,185.0,64,32,8,29,46,0.48000000000000004,1.5567567567567568,7.0,3.0,4.0,0,274.0,17.0,37,0.0,0.0,0.0,1.508108108108108,0
verasjo01,23,23,440,0,0,0,27,1269.0,337,184,45,221,438,2.57,1.3049645390070923,13.0,22.0,23.0,3,1825.0,144.0,196,14.0,7.0,5.0,1.319148936170213,0
verbajo01,12,11,92,17,3,2,6,621.0,210,75,15,84,94,1.06,1.0869565217391304,14.0,6.0,9.0,0,895.0,33.0,81,0.0,0.0,0.0,1.4202898550724639,0
verdeal01,0,0,1,0,0,0,0,3.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,3.0,1.0,0,0.0,0.0,0.0,0.0,0
verdury01,0,1,1,1,0,0,0,5.0,8,6,1,2,2,0.615,10.8,0.0,0.0,0.0,0,15.0,0.0,6,0.0,0.0,0.0,6.0,0
verekto01,0,0,2,0,0,0,0,9.0,3,5,1,2,1,9.99,5.0,0.0,0.0,1.0,0,0.0,1.0,5,0.0,0.0,0.0,1.6666666666666667,0
veresda01,36,35,605,0,0,0,95,2082.0,661,265,78,257,617,1.955,1.1455331412103746,30.0,45.0,28.0,7,2957.0,284.0,287,12.0,10.0,0.0,1.3227665706051874,0
veresra01,9,13,135,1,0,0,3,522.0,179,89,24,74,116,1.56,1.5344827586206897,15.0,11.0,8.0,0,774.0,47.0,99,0.0,0.0,0.0,1.4540229885057472,0
verhadr01,2,1,21,1,0,0,0,94.0,23,9,1,17,17,0.494,0.8617021276595744,2.0,1.0,1.0,0,126.0,2.0,9,1.0,0.0,1.0,1.2765957446808511,0
verhojo01,3,8,99,0,0,0,4,612.0,214,86,16,63,90,1.26,1.2647058823529411,18.0,4.0,6.0,2,869.0,46.0,101,0.0,0.0,0.0,1.357843137254902,0
verlaju01,157,97,318,318,21,7,0,6334.0,1901,825,187,642,1943,2.7030000000000003,1.1722450268392801,22.0,67.0,72.0,17,8761.0,0.0,900,36.0,46.0,16.0,1.2044521629302178,0
vermija01,0,0,2,0,0,0,0,18.0,5,0,0,0,2,0.227,0.0,0.0,0.0,0.0,0,22.0,1.0,0,0.0,0.0,0.0,0.8333333333333334,0
vernojo01,0,0,2,1,0,0,0,22.0,8,9,0,11,1,10.27,3.6818181818181817,0.0,2.0,1.0,0,21.0,1.0,10,0.0,0.0,0.0,2.590909090909091,0
verrelo01,1,2,18,4,0,0,1,143.0,34,19,6,15,39,0.48,1.1958041958041958,4.0,1.0,2.0,0,190.0,4.0,20,2.0,3.0,0.0,1.027972027972028,0
veselbo01,1,1,6,0,0,0,0,80.0,25,10,2,13,15,0.45999999999999996,1.125,2.0,1.0,0.0,0,117.0,3.0,10,0.0,0.0,0.0,1.4249999999999998,0
viaule01,83,77,178,162,146,5,1,4326.0,1441,533,37,526,554,1.81,1.108876560332871,0.0,44.0,0.0,0,3114.0,15.0,881,0.0,0.0,0.0,1.3640776699029127,0
vickeru01,22,27,88,45,29,7,2,1374.0,426,149,1,119,213,1.48,0.9759825327510917,0.0,18.0,16.0,0,1909.0,34.0,216,0.0,0.0,0.0,1.1899563318777293,0
vicketo01,42,42,97,90,72,2,0,2153.0,766,299,16,352,265,1.04,1.2498838829540178,0.0,43.0,0.0,1,0.0,8.0,504,0.0,0.0,0.0,1.5578262888992105,0
villabr01,1,7,91,0,0,0,3,308.0,109,47,14,60,77,1.4769999999999999,1.3733766233766234,6.0,4.0,7.0,0,471.0,34.0,48,4.0,3.0,0.0,1.646103896103896,0
villabr02,4,8,74,0,0,0,0,225.0,67,38,7,47,86,0.9670000000000001,1.52,5.0,11.0,1.0,2,331.0,23.0,42,3.0,7.0,0.0,1.52,0
villaca01,49,53,425,76,0,0,10,2774.0,878,429,122,309,801,2.4699999999999998,1.3918529199711607,31.0,30.0,31.0,1,3913.0,99.0,441,32.0,22.0,3.0,1.2837058399423216,0
villaed01,0,1,1,1,0,0,0,10.0,6,5,1,4,0,0.375,4.5,0.0,1.0,0.0,0,20.0,0.0,5,0.0,0.0,0.0,3.0,0
villael01,0,1,1,1,0,0,0,9.0,5,8,1,5,2,0.357,8.0,1.0,0.0,1.0,0,20.0,0.0,8,0.0,0.0,0.0,3.3333333333333335,0
villahe02,0,0,8,0,0,0,0,18.0,5,3,0,3,3,0.227,1.5,0.0,0.0,1.0,1,27.0,3.0,3,0.0,1.0,0.0,1.3333333333333333,0
villaos01,24,15,258,5,0,0,1,1008.0,326,144,42,135,236,1.605,1.2857142857142858,24.0,20.0,16.0,2,1464.0,53.0,168,23.0,18.0,0.0,1.3720238095238095,0
villape01,1,6,44,1,0,0,0,214.0,81,34,11,22,46,0.95,1.4299065420560748,3.0,1.0,4.0,1,311.0,12.0,39,2.0,4.0,0.0,1.4439252336448598,0
villeis01,0,0,1,0,0,0,0,8.0,4,4,2,2,2,0.333,4.5,0.0,0.0,1.0,0,15.0,0.0,4,0.0,0.0,0.0,2.25,0
villoro01,61,65,717,93,2,0,8,3504.0,1115,614,136,637,925,4.198,1.577054794520548,39.0,48.0,68.0,2,5193.0,168.0,665,38.0,34.0,0.0,1.5,0
vinceni01,9,6,161,0,0,0,1,452.0,121,44,8,39,161,0.902,0.8761061946902655,5.0,2.0,5.0,0,600.0,25.0,46,8.0,1.0,5.0,1.0619469026548671,0
vinesbo01,0,0,5,0,0,0,0,44.0,32,16,1,3,0,0.87,3.272727272727273,0.0,1.0,0.0,0,80.0,2.0,23,0.0,0.0,0.0,2.3863636363636362,0
vineyda01,2,5,19,6,1,0,0,162.0,57,25,5,27,50,0.27,1.3888888888888888,2.0,2.0,0.0,0,239.0,1.0,34,0.0,0.0,0.0,1.5555555555555554,0
vininke01,0,0,8,0,0,0,0,20.0,15,13,3,7,3,0.441,5.85,0.0,0.0,1.0,0,42.0,2.0,14,0.0,0.0,0.0,3.3000000000000003,0
vintobi01,17,19,37,37,34,2,0,942.0,302,86,7,73,160,0.48,0.821656050955414,0.0,25.0,4.0,0,1395.0,0.0,231,0.0,0.0,0.0,1.194267515923567,0
violafr01,176,150,421,420,74,16,0,8509.0,2827,1175,294,864,1844,4.16,1.2428017393348219,39.0,86.0,48.0,12,11933.0,0.0,1303,0.0,0.0,0.0,1.3013280056410859,0
violape01,0,0,15,0,0,0,0,36.0,14,10,6,6,12,0.8220000000000001,2.5,0.0,0.0,0.0,0,56.0,3.0,10,1.0,1.0,0.0,1.6666666666666667,0
virtuja01,0,0,2,0,0,0,0,15.0,3,1,0,4,2,0.16,0.6,0.0,0.0,0.0,0,0.0,1.0,3,0.0,0.0,0.0,1.4,0
viteljo01,0,0,4,0,0,0,0,21.0,5,2,1,7,2,0.18,0.8571428571428571,0.0,0.0,1.0,0,36.0,4.0,6,0.0,0.0,0.0,1.7142857142857142,0
